id,"name","district_id",type
420,"फेदीखोला गाउँपालिका","39",0
421,"बिरुवा गाउँपालिका","39",0
422,"हरिनास गाउँपालिका","39",0
423,"पोखरा लेखनाथ महानगरपालिका","40",3
424,"अन्नपूर्ण गाउँपालिका","40",0
425,"माछापुच्छ्रे गाउँपालिका","40",0
426,"मादी गाउँपालिका","40",0
427,"रूपा गाउँपालिका","40",0
428,"चामे गाउँपालिका","41",0
429,"नारफू गाउँपालिका","41",0
430,"नाशोङ गाउँपालिका","41",0
431,"नेस्याङ गाउँपालिका","41",0
432,"घरपझोङ गाउँपालिका","42",0
433,"थासाङ गाउँपालिका","42",0
434,"दालोमे गाउँपालिका","42",0
435,"लोमन्थाङ गाउँपालिका","42",0
436,"वाह्रगाउँ मुक्तिक्षेत्र गाउँपालिका","42",0
437,"बेनी नगरपालिका","43",1
438,"धवलागिरी गाउँपालिका","43",0
439,"मंगला गाउँपालिका","43",0
440,"मालिका गाउँपालिका","43",0
441,"रघुगंगा गाउँपालिका","43",0
442,"कुश्मा नगरपालिका","44",1
443,"फलेवास नगरपालिका","44",1
444,"जलजला गाउँपालिका","44",0
445,"पैयूं गाउँपालिका","44",0
446,"महाशिला गाउँपालिका","44",0
447,"मोदी गाउँपालिका","44",0
448,"विहादी गाउँपालिका","44",0
449,"बागलुङ नगरपालिका","45",1
450,"गल्कोट नगरपालिका","45",1
451,"जैमूनी नगरपालिका","45",1
452,"ढोरपाटन नगरपालिका","45",1
453,"वरेङ गाउँपालिका","45",0
454,"काठेखोला गाउँपालिका","45",0
455,"तमानखोला गाउँपालिका","45",0
456,"ताराखोला गाउँपालिका","45",0
457,"निसीखोला गाउँपालिका","45",0
458,"वडिगाड गाउँपालिका","45",0
459,"कावासोती नगरपालिका","46",1
460,"गैडाकोट नगरपालिका","46",1
461,"देवचुली नगरपालिका","46",1
462,"मध्यविन्दु नगरपालिका","46",1
463,"बुङ्दीकाली गाउँपालिका","46",0
464,"बुलिङटार गाउँपालिका","46",0
465,"विनयी त्रिवेणी गाउँपालिका","46",0
466,"हुप्सेकोट गाउँपालिका","46",0
467,"मुसिकोट नगरपालिका","47",1
468,"रेसुङ्गा नगरपालिका","47",1
469,"ईस्मा गाउँपालिका","47",0
470,"गुल्मी दरबार गाउँपालिका","47",0
471,"सत्यवती गाउँपालिका","47",0
472,"चन्द्रकोट गाउँपालिका","47",0
473,"रुरु गाउँपालिका","47",0
474,"छत्रकोट गाउँपालिका","47",0
475,"धुर्कोट गाउँपालिका","47",0
476,"मदाने गाउँपालिका","47",0
477,"रामपुर नगरपालिका","48",1
478,"तानसेन नगरपालिका","48",1
479,"निस्दी गाउँपालिका","48",0
480,"पूर्वखोला गाउँपालिका","48",0
481,"रम्भा गाउँपालिका","48",0
482,"माथागढी गाउँपालिका","48",0
483,"तिनाउ गाउँपालिका","48",0
484,"बगनासकाली गाउँपालिका","48",0
485,"रिब्दिकोट गाउँपालिका","48",0
486,"रैनादेवी छहरा गाउँपालिका","48",0
487,"बुटवल उपमहानगरपालिका","49",2
488,"देवदह नगरपालिका","49",1
489,"लुम्बिनी सांस्कृतिक नगरपालिका","49",1
490,"सैनामैना नगरपालिका","49",1
491,"सिद्धार्थनगर नगरपालिका","49",1
492,"तिलोत्तमा नगरपालिका","49",1
493,"गैडहवा गाउँपालिका","49",0
494,"कञ्चन गाउँपालिका","49",0
495,"कोटहीमाई गाउँपालिका","49",0
496,"मर्चवारी गाउँपालिका","49",0
497,"मायादेवी गाउँपालिका","49",0
498,"ओमसतिया गाउँपालिका","49",0
499,"रोहिणी गाउँपालिका","49",0
500,"सम्मरीमाई गाउँपालिका","49",0
501,"सियारी गाउँपालिका","49",0
502,"शुद्धोधन गाउँपालिका","49",0
503,"कपिलवस्तु नगरपालिका","50",1
504,"बुद्धभूमी नगरपालिका","50",1
505,"शिवराज नगरपालिका","50",1
506,"महाराजगंज नगरपालिका","50",1
507,"कृष्णनगर नगरपालिका","50",1
508,"बाणगंगा नगरपालिका","50",1
509,"यसोधरा गाउँपालिका","50",0
510,"सुद्धोधन गाउँपालिका","50",0
511,"विजयनगर गाउँपालिका","50",0
512,"सन्धिखर्क नगरपालिका","51",1
513,"शितगंगा नगरपालिका","51",1
514,"भूमिकास्थान नगरपालिका","51",1
515,"छत्रदेव गाउँपालिका","51",0
516,"पाणिनी गाउँपालिका","51",0
517,"मालारानी गाउँपालिका","51",0
518,"प्यूठान नगरपालिका","52",1
519,"स्वर्गद्वारी नगरपालिका","52",1
520,"गौमुखी गाउँपालिका","52",0
521,"माण्डवी गाउँपालिका","52",0
522,"सरुमारानी गाउँपालिका","52",0
523,"मल्लरानी गाउँपालिका","52",0
524,"नौवहिनी गाउँपालिका","52",0
525,"झिमरुक गाउँपालिका","52",0
526,"ऐरावती गाउँपालिका","52",0
527,"रोल्पा नगरपालिका","53",1
528,"त्रिवेणी गाउँपालिका","53",0
529,"दुईखोली गाउँपालिका","53",0
530,"माडी गाउँपालिका","53",0
531,"रुन्टीगढी गाउँपालिका","53",0
532,"लुङग्री गाउँपालिका","53",0
533,"सुकिदह गाउँपालिका","53",0
534,"सुनछहरी गाउँपालिका","53",0
535,"सुवर्णावती गाउँपालिका","53",0
536,"थवाङ गाउँपालिका","53",0
537,"पुथा उत्तरगंगा गाउँपालिका","54",0
538,"भूमे गाउँपालिका","54",0
539,"सिस्ने गाउँपालिका","54",0
540,"तुल्सीपुर उपमहानगरपालिका","55",2
541,"घोराही उपमहानगरपालिका","55",2
542,"लमही नगरपालिका","55",1
543,"बंगलाचुली गाउँपालिका","55",0
544,"दंगीशरण गाउँपालिका","55",0
545,"गढवा गाउँपालिका","55",0
546,"राजपुर गाउँपालिका","55",0
547,"राप्ती गाउँपालिका","55",0
548,"शान्तिनगर गाउँपालिका","55",0
549,"बबई गाउँपालिका","55",0
550,"नेपालगंज उपमहानगरपालिका","56",2
551,"कोहलपुर नगरपालिका","56",1
552,"नरैनापुर गाउँपालिका","56",0
553,"राप्तीसोनारी गाउँपालिका","56",0
554,"बैजनाथ गाउँपालिका","56",0
555,"खजुरा गाउँपालिका","56",0
556,"डुडुवा गाउँपालिका","56",0
557,"जानकी गाउँपालिका","56",0
558,"गुलरिया नगरपालिका","57",1
559,"मधुवन नगरपालिका","57",1
560,"राजापुर नगरपालिका","57",1
561,"ठाकुरबाबा नगरपालिका","57",1
562,"बाँसगढी नगरपालिका","57",1
563,"बारबर्दिया नगरपालिका","57",1
564,"बढैयाताल गाउँपालिका","57",0
565,"गेरुवा गाउँपालिका","57",0
566,"बर्दघाट नगरपालिका","58",1
567,"रामग्राम नगरपालिका","58",1
568,"सुनवल नगरपालिका","58",1
569,"सुस्ता गाउँपालिका","58",0
570,"पाल्हीनन्दन गाउँपालिका","58",0
571,"प्रतापपुर गाउँपालिका","58",0
572,"सरावल गाउँपालिका","58",0
573,"चौरजहारी नगरपालिका","59",1
574,"आठबिसकोट नगरपालिका","59",1
575,"बाँफिकोट गाउँपालिका","59",0
576,"सानी भेरी गाउँपालिका","59",0
577,"शारदा नगरपालिका","60",1
578,"बागचौर नगरपालिका","60",1
579,"बनगाड कुपिण्डे नगरपालिका","60",1
580,"कालिमाटी गाउँपालिका","60",0
581,"कपुरकोट गाउँपालिका","60",0
582,"छत्रेश्वरी गाउँपालिका","60",0
583,"ढोरचौर गाउँपालिका","60",0
584,"कुमाखमालिका गाउँपालिका","60",0
585,"दार्मा गाउँपालिका","60",0
586,"बीरेन्द्रनगर नगरपालिका","61",1
587,"भेरीगंगा नगरपालिका","61",1
588,"गुर्भाकोट नगरपालिका","61",1
589,"पञ्चपुरी नगरपालिका","61",1
